epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3202,2.4758,3.06954,2.88825,0.14367,0.05189,0.08546,0.03387,2.19523,2.54257,2.70832,0.000301515,0.000301515,0.000301515
2,64.4474,2.17794,2.62159,2.78938,0.28722,0.08151,0.16845,0.11285,2.0243,2.57105,2.82217,0.00059853,0.00059853,0.00059853
3,89.7554,2.11479,2.51253,2.76617,0.2856,0.08111,0.18555,0.1064,2.00335,2.47233,2.76591,0.000889546,0.000889546,0.000889546
4,115.226,2.06879,2.47699,2.77941,0.39193,0.10249,0.24053,0.13474,1.88178,2.42268,2.8803,0.000882003,0.000882003,0.000882003
5,140.641,1.99993,2.45834,2.79998,0.37019,0.14709,0.23283,0.11947,1.87986,2.39186,2.82094,0.000873004,0.000873004,0.000873004
6,165.954,1.97425,2.41323,2.76417,0.34084,0.11595,0.22382,0.1302,1.83125,2.35866,2.74427,0.000864004,0.000864004,0.000864004
7,191.684,1.94683,2.37309,2.71288,0.35719,0.17169,0.25637,0.13951,1.80773,2.31344,2.71676,0.000855005,0.000855005,0.000855005
8,217.216,1.90202,2.33976,2.69646,0.34567,0.22655,0.25256,0.14033,1.79592,2.32686,2.74759,0.000846006,0.000846006,0.000846006
9,242.818,1.88535,2.31882,2.68506,0.4118,0.19246,0.29449,0.15937,1.78311,2.37603,2.77895,0.000837007,0.000837007,0.000837007
10,268.788,1.86183,2.26825,2.67366,0.37653,0.19819,0.28243,0.16138,1.75546,2.28845,2.74346,0.000828008,0.000828008,0.000828008
11,293.991,1.82935,2.26284,2.65591,0.40636,0.18601,0.30205,0.15937,1.72821,2.26171,2.74284,0.000819009,0.000819009,0.000819009
12,319.303,1.82909,2.24192,2.65916,0.44479,0.16913,0.31285,0.18257,1.72636,2.23741,2.6781,0.00081001,0.00081001,0.00081001
13,344.941,1.80202,2.22024,2.62809,0.4305,0.21777,0.31973,0.18325,1.73012,2.24859,2.69089,0.000801011,0.000801011,0.000801011
14,370.461,1.75846,2.20001,2.62457,0.42095,0.21503,0.30961,0.18188,1.72626,2.24547,2.71542,0.000792012,0.000792012,0.000792012
15,396.421,1.76771,2.17566,2.60654,0.3523,0.19438,0.28443,0.16211,1.73622,2.18494,2.69375,0.000783013,0.000783013,0.000783013
16,422.774,1.74378,2.15666,2.59011,0.41348,0.23013,0.3293,0.18361,1.71904,2.16425,2.70058,0.000774013,0.000774013,0.000774013
